baseline 'main' (ad7fcc1affd0746a, 391 forecast dates from 1994-03-01) against this run (43ab429af4c39560, 391 from 1994-03-01)
168 IDENTICAL  0 NUMERICAL  219 MOVED  0 REMOVED  0 ADDED
a difference is NUMERICAL up to 1e-09 in absolute value and MOVED above it; every categorical difference is MOVED
2 of the MOVED are categorical -- a verdict, a failing gate or the run's identity -- and are listed first

categorical fields that moved -- read these first:
band   section   row  field               baseline                                 this run                     difference
-----  --------  ---  ------------------  ---------------------------------------  ---------------------------  ----------
MOVED  horizons  120  failing_gates       skill, calibration, robustness, honesty  skill, calibration, honesty
MOVED  run            configuration_hash  ad7fcc1affd0746a                         43ab429af4c39560

numeric fields, largest difference first:
band   section     row                                                               field                       baseline         this run          difference
-----  ----------  ----------------------------------------------------------------  --------------------------  ---------------  ----------------  ----------
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 12   logarithmic_loss            0.3362305701     0.3813120343      +4.508e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 12          reliability                 0.02773974938    0.07219877679     +4.446e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 60                         logarithmic_loss            0.3161455156     0.3596692957      +4.352e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         resolution                  0.07956512103    0.03662991527     -4.294e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 12              expected_calibration_error  0.2791819008     0.2393587658      -3.982e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 12                 brier_skill_score           0.122152147      0.1599156734      +3.776e-02
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 12    expected_calibration_error  0.1944730818     0.1568278182      -3.765e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          area_under_the_curve        0.7379988433     0.7755928282      +3.759e-02
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         reliability                 0.08907028839    0.05514530497     -3.392e-02
MOVED  indicators  industrial_production_growth_above_two_percent_at_horizon @ 60    area_under_the_curve        0.5467406743     0.5802870599      +3.355e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             area_under_the_curve        0.6035665295     0.6345962821      +3.103e-02
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 60      expected_calibration_error  0.1755058483     0.2064700896      +3.096e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 60   logarithmic_loss            0.8220522359     0.7920246121      -3.003e-02
MOVED  horizons    12                                                                skill_lower_bound           0.09965405699    0.1289337545      +2.928e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 12              brier_score                 0.3360436685     0.3077068369      -2.834e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 60              reliability                 0.09785603989    0.07039133776     -2.746e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 60              brier_skill_score           -0.04592440361   -0.01848078682    +2.744e-02
MOVED  indicators  unemployment_rate_above_five_percent_at_horizon @ 12              reliability                 0.09480644534    0.06756152531     -2.724e-02
