baseline 'main' (ad7fcc1affd0746a, 391 forecast dates from 1994-03-01) against this run (9632ee1193541d34, 391 from 1994-03-01)
109 IDENTICAL  0 NUMERICAL  278 MOVED  0 REMOVED  0 ADDED
a difference is NUMERICAL up to 1e-09 in absolute value and MOVED above it; every categorical difference is MOVED
2 of the MOVED are categorical -- a verdict, a failing gate or the run's identity -- and are listed first

categorical fields that moved -- read these first:
band   section  row  field               baseline          this run          difference
-----  -------  ---  ------------------  ----------------  ----------------  ----------
MOVED  run           configuration_hash  ad7fcc1affd0746a  9632ee1193541d34
MOVED  run           state_count         6                 4

numeric fields, largest difference first:
band   section     row                                                               field                        baseline         this run         difference
-----  ----------  ----------------------------------------------------------------  ---------------------------  ---------------  ---------------  ----------
MOVED  indicators  unemployment_rate_above_seven_percent_within_horizon @ 60         area_under_the_curve         0.4843699775     0.4246223079     -5.975e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  expected_calibration_error   0.3396501276     0.2822505351     -5.740e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 120            brier_skill_score            0.3991804309     0.3428158509     -5.636e-02
MOVED  indicators  treasury_yield_curve_inverted_within_horizon @ 12                 logarithmic_loss             0.6100197147     0.5536621199     -5.636e-02
MOVED  indicators  economy_in_recession_within_horizon @ 120                         expected_calibration_error   0.302086575      0.2464086385     -5.568e-02
MOVED  indicators  economy_in_recession_within_horizon @ 12                          expected_calibration_error   0.1518402551     0.2072284267     +5.539e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 60                         brier_skill_score            0.3265954045     0.3819659486     +5.537e-02
MOVED  indicators  federal_funds_rate_below_one_percent_within_horizon @ 60          logarithmic_loss             0.7588601618     0.7041425344     -5.472e-02
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 120     expected_calibration_error   0.3012010871     0.2466044637     -5.460e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 12             brier_skill_score            0.1408977835     0.08788340947    -5.301e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 12                         logarithmic_loss             0.3434424439     0.2924763306     -5.097e-02
MOVED  indicators  federal_funds_rate_above_four_percent_at_horizon @ 60             brier_score                  0.2647102757     0.3151413867     +5.043e-02
MOVED  indicators  economy_in_recession_within_horizon @ 12                          area_under_the_curve         0.4705745462     0.4204375032     -5.014e-02
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 120     logarithmic_loss             0.757361304      0.7084064054     -4.895e-02
MOVED  indicators  economy_in_recession_at_horizon_date @ 12                         expected_calibration_error   0.1240370155     0.07599319562    -4.804e-02
MOVED  indicators  consumer_price_inflation_above_three_percent_at_horizon @ 12      logarithmic_loss             0.6765381229     0.6288614079     -4.768e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 120  area_under_the_curve         0.1333848636     0.1807366582     +4.735e-02
MOVED  indicators  consumer_price_inflation_above_five_percent_within_horizon @ 60   mean_distance_to_stationary  0.1173919868     0.07283589071    -4.456e-02
